Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
376,2015-10-01 00:16:26,2015-10-01 00:22:42,3212,Christ Hospital,40.734785818,-74.050443636,3207,Oakland Ave,40.7376037,-74.0524783,24470,Subscriber,1960,1
739,2015-10-01 00:27:12,2015-10-01 00:39:32,3207,Oakland Ave,40.7376037,-74.0524783,3212,Christ Hospital,40.734785818,-74.050443636,24481,Subscriber,1960,1
2714,2015-10-01 00:32:46,2015-10-01 01:18:01,3193,Lincoln Park,40.7246050998869,-74.07840594649315,3193,Lincoln Park,40.7246050998869,-74.07840594649315,24628,Subscriber,1983,1
275,2015-10-01 00:34:31,2015-10-01 00:39:06,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,24613,Subscriber,1975,1
561,2015-10-01 00:40:12,2015-10-01 00:49:33,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,24668,Customer,,0
365,2015-10-01 00:41:46,2015-10-01 00:47:51,3198,Heights Elevator,40.748715945380226,-74.04044330120087,3215,Central Ave,40.7467299,-74.0492509,24644,Customer,,0
139,2015-10-01 00:43:44,2015-10-01 00:46:03,3206,Hilltop,40.7311689,-74.0575736,3195,Sip Ave,40.73074262530658,-74.06378388404846,24482,Subscriber,1988,1
1299,2015-10-01 01:10:10,2015-10-01 01:31:50,3197,North St,40.752559,-74.044725,3215,Central Ave,40.7467299,-74.0492509,24550,Customer,,0
647,2015-10-01 02:01:36,2015-10-01 02:12:24,3213,Van Vorst Park,40.71848892,-74.047726625,3190,Garfield Ave Station,40.7104670233797,-74.07003879547119,24650,Subscriber,1988,1
233,2015-10-01 04:43:33,2015-10-01 04:47:27,3194,McGinley Square,40.7253399253558,-74.06762212514877,3195,Sip Ave,40.73074262530658,-74.06378388404846,24584,Subscriber,1978,2
352,2015-10-01 04:43:42,2015-10-01 04:49:34,3215,Central Ave,40.7467299,-74.0492509,3197,North St,40.752559,-74.044725,24550,Customer,,0
1013,2015-10-01 05:31:13,2015-10-01 05:48:06,3193,Lincoln Park,40.7246050998869,-74.07840594649315,3193,Lincoln Park,40.7246050998869,-74.07840594649315,24471,Subscriber,1980,1
592,2015-10-01 05:41:17,2015-10-01 05:51:10,3196,Riverview Park,40.7443187,-74.0439909,3202,Newport PATH,40.7272235,-74.0337589,24406,Subscriber,1983,2
308,2015-10-01 05:44:29,2015-10-01 05:49:38,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24723,Subscriber,1980,1
667,2015-10-01 05:52:21,2015-10-01 06:03:29,3207,Oakland Ave,40.7376037,-74.0524783,3185,City Hall,40.7177325,-74.043845,24516,Subscriber,1984,2
312,2015-10-01 06:25:54,2015-10-01 06:31:07,3214,Essex Light Rail,40.7127742,-74.0364857,3186,Grove St PATH,40.71958611647166,-74.04311746358871,19086,Subscriber,1984,1
